numero,area,precio,estado
32-22,199.95,35761.06,disponible
32-23,199.95,35761.06,disponible
32-24,199.95,35761.06,disponible
32-25,199.95,35761.06,disponible
32-26,199.95,35761.06,disponible
32-27,199.95,35761.06,disponible
32-28,199.95,35761.06,disponible
32-29,199.95,35761.06,disponible
32-30,214.14,38298.94,disponible
37-A-1,206.14,36868.14,disponible
37-A-2,200,35770,disponible
37-A-3,200,35770,disponible
37-A-4,200,35770,disponible
37-A-5,200,35770,disponible
37-A-6,200,35770,disponible
37-A-7,200,35770,disponible
37-A-8,200,35770,disponible
37-A-9,200,35770,disponible
37-A-10,200,35770,disponible
37-A-11,200,35770,disponible
37-A-12,200,35770,disponible
37-A-13,200,35770,reservado
37-A-14,200.22,35809.35,reservado
